Product Names,Star Ratings,Review Count,Sales Volume,MRP Price,Discount Precentage,Discounted Price,Prime Delivery Estimate,Non Prime Delivery Estimate,Festival Tag,Category,Sub Category
"Zebronics Duke Plus, ANC, 70H Backup",3.8,15903,200,7999,0.84,1299,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
soundcore by Anker Q20i Wireless Bluetooth,4.3,38.8K,4K ,5999,0.39,3659,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Blaupunkt BH41, Long Playtime, Foldable",4.1,1123,50,3499,0.63,1299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
Sony WH-CH720N Active Noise Cancellation Wireless,4.3,12.8K,4K ,14990,0.47,7989,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Zebronics Boom, Wired, Foldable, 40mm Drivers",3.5,261,100,1299,0.48,669,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
JBL Tune 770NC Wireless Over Ear ANC Headphones,4,26.8K,2K ,9999,0.5,4999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Zebronics Thunder Max, 120H Playback, Gaming Mode",3.6,504,200,2499,0.6,999,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
GOBOULT Newly Launched Fluid X Headphones,4.1,11,5K ,5999,0.73,1599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"boAt Rockerz 413, 60H Battery, ENx Tech",3.8,147,100,2990,0.53,1399,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
boAt Rockerz 430 w/ 40mm Drivers,3.4,1.6K,500 ,2490,0.56,1099,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"boAt Rockerz 460, 30H Battery, Beast Mode",4.1,779,100,2490,0.48,1299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
Sony ULT Wear WH-ULT900N Noise Cancellation,4.3,2.2K,1K ,24990,0.46,13490,10/10/2025,13/10/2025,Best seller,Electronics,Headphones
"HAMMER Bash Max, 40H Playtime, Deep Bass",3.8,3655,100,8245,0.76,1999,11/10/2025,13/10/2025,Limited time deal,Electronics,Headphones
soundcore by Anker,3.9,19.6K,500 ,17999,0.54,5999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"GOBOULT Fluid X, 60H Playtime, Gaming Mode",4.2,29,50,5999,0.73,1599,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
HP H200 On Ear Wireless Headset,4,432,4K ,3749,0.71,1099,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
"Sennheiser Momentum 4, ANC, 60H Battery",4.4,9972,50,34990,0.4,20990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
GOBOULT Newly Launched Soniq Over Ear Bluetooth,4,382,1K ,5999,0.7,1799,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"QCY H3 Pro, ANC, 55H Playtime",4.1,35,50,5999,0.33,3999,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
soundcore by Anker Q20i Hybrid Active Noise,4.3,38.8K,1K ,9598,0.63,3599,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Sony WH-1000XM4, ANC, 30H Battery, Blue",4.5,57149,200,29990,0.33,19980,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
"Sony WH-1000XM4, ANC, 30H Battery, Silver",4.5,57149,200,29990,0.33,19990,11/10/2025,13/10/2025,Best seller,Electronics,Headphones
"GM G+ Headphones, 55H Playtime, Dual Pairing",4.2,203,50,3299,0.55,1498,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
"Blaupunkt BH31 AudioX, 40MM Drivers, HD Sound",4.1,1123,200,3499,0.66,1199,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Headphones
"Sennheiser HD 350BT, 30H Playtime",4.3,3518,50,8990,0.44,4990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Sony WH-1000XM6, Noise Cancelling, Midnight Blue",4.4,1069,50,49990,0.2,39989,11/10/2025,13/10/2025,Best seller,Electronics,Headphones
"Sony WH-1000XM5, ANC, 30H Battery, White",4.4,16001,100,34990,0.34,22999,11/10/2025,13/10/2025,Best seller,Electronics,Headphones
"boAt Rockerz 551 ANC Pro, 72H Battery, Foldable",3.9,233,100,8990,0.61,3499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Bose QuietComfort, Noise Cancelling, 24H Battery",4.4,11217,200,27900,0.32,18999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"K92, Closed Back",4.2,2810,200,6748,0.56,2949,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
"Sennheiser HD 599 Special Edition, Open-Back Audiophile",4.5,9009,50,20990,0.6,8490,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Zebronics Thunder NEO, 60H Playtime, Gaming Mode",4.1,81,50,1899,0.53,899,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Headphones
"Zebronics Thunder Max, 120H Playback, Gaming Mode, Purple",3.6,504,100,2499,0.6,999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Headphones
"Zebronics Duke, 60H Backup, ENC, Gaming Mode",3.8,15903,100,1999,0.55,899,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Zebronics Duke Plus, ANC, 70H Backup, Blue",3.8,15903,200,7999,0.84,1299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Sennheiser HD 560S, Open-Back, Audiophile",4.5,2963,50,20990,0.52,9990,11/10/2025,13/10/2025,Best seller,Electronics,Headphones
"Sennheiser ACCENTUM Plus, ANC, 50H Battery",4,936,200,19990,0.35,12990,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Headphones
"HAMMER Bash Vivid ANC, 70H Playtime, Foldable",4.4,23,200,4999,0.64,1799,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
"icall P47, Wireless, Foldable",3.5,3,200,1599,0.76,388,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Headphones
"boAt Rockerz Plus 550, 100H Battery, Dual Pair",4,65347,400,4990,0.54,2299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"HAMMER Bash Max, 40H Playtime, Deep Bass",3.8,3655,200,8245,0.76,1999,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Headphones
"Sennheiser ACCENTUM, Hybrid ANC, 50H Battery",4,1175,100,14990,0.4,8990,11/10/2025,13/10/2025,Best seller,Electronics,Headphones
"Nu Republic Starboy, 54H Playtime, Gaming Mode",3.9,105,100,3999,0.8,799,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Headphones
"Sennheiser HD 450BT, ANC, 30H Battery",3.7,7932,50,14990,0.53,6990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Zebronics Silencio 111, Hybrid ANC, 55H Backup",3.8,1646,50,8999,0.72,2499,10/10/2025,12/10/2025,Limited time deal,Electronics,Headphones
"iClever BTH13 Kids, 45H Playtime, Cat Ear Design",4.4,9931,50,3999,0.38,2479,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Headphones
"iClever BTH12 Kids, 85H Playtime, Safe Volume",4.2,11661,50,3999,0.42,2308,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Cosmic Byte Immortal, 40H Battery, RGB LED",3.7,168,100,5999,0.65,2099,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Headphones
"Sony WH-1000XM5, ANC, 30H Battery",4.4,16001,300,34990,0.34,23067,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"Litvibes Bluetooth, 300H Standby, Cartoon Design",4.6,7,100,1999,0.48,1034,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
Tronica Enjoy Version:2 Bluetooth Wooden Home,3.7,60,50 ,2000,0.48,1033,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
OBAGE Essential-5 2.1 Home Theatre System,3.9,1.9K,100 ,6000,0.42,3495,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
TRONICA Series 7.1 Channel Home Theater System,3.4,422,50 ,4000,0.36,2579,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
boAt Aavante Bar Mystiq,4.1,2.2K,50 ,15990,0.69,5031,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
OBAGE Newly Launched Home Theatre System 200,4,357,50 ,25000,0.6,9999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
Sony Bravia Theatre Quad,4.4,39,50 ,239990,0.25,179714,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
OBAGE Classic-6 4.1 Home Theatre System,3.9,1.1K,100 ,10000,0.47,5299,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
TRONICA Super King 40W 5.1 Bluetooth Home Theater,3.4,4.2K,100 ,3500,0.38,2156,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
"ZEBRONICS Juke BAR 4100 Soundbar, 200 Watts",4.2,460,500 ,20999,0.75,5200,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
boAt Aavante Bar 3600/3500,4,4.9K,4K ,44990,0.8,9499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
Sony HT-S20R Real 5.1ch Dolby Digital Soundbar,4.6,20.4K,5K ,23990,0.42,13990,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
OBAGE Classic-5 2.1 Home Theatre System,4.1,1.5K,50 ,9000,0.49,4599,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Home Theater
TRONICA TR-1501 Auxiliary,3.5,737,100 ,6000,0.44,3390,11/10/2025,12/10/2025,Best seller,Electronics,Home Theater
Acer Aspire Go 14 – Core Ultra 5 125H,3.5,66,500,72999,0.32,49990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 15,3.9,1.4K,400 ,55691,0.26,40990,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 255 – AMD Athlon,3.8,134,500,30336,0.26,22385,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo {SmartChoice)Chromebook Intel Celeron,3.9,44,500 ,36502,0.7,10990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
MacBook Air (2025) – M4,4.6,592,3K,99900,0.15,84990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook Go 15,4.3,36,300 ,44990,0.36,28985,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo LOQ – Ryzen 7 7435HS,4.1,190,500,110890,0.24,83990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Dell 15 Intel Core i5 13th Gen - 1334U,3.5,148,1K ,72598,0.31,49990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 15 – Core i3-1315U,3.5,3,100,51990,0.23,39990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Chromebook CX1405,3.7,15,100 ,27990,0.25,20990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
JioBook 11 – MediaTek 8788,3,466,300,25000,0.56,10990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB,3.9,62,100 ,39990,0.58,16880,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo LOQ – Ryzen 5 7235HS,4.2,83,400,94590,0.31,65490,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Laptops
Walker Best Student &Office Work Laptop,3.2,168,200 ,30000,0.59,12190,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
HP 14 – Ryzen 5 7520U,3.7,56,300,48000,0.4,28990,11/10/2025,13/10/2025,Limited time deal,Electronics,Laptops
Acer SmartChoice ALG,3.8,131,2K ,74999,0.21,58990,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
HP Pavilion x360 – Core i5-1335U,3.7,248,300,90485,0.3,62990,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Laptops
JioBook 11 Lifetime Office/Android 4G Laptop,3,456,200 ,25000,0.56,10990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
HP OmniBook 5 OLED – Snapdragon X,3.9,44,300,88225,0.23,67990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo IdeaPad Slim 3,4,11,1K ,65800,0.29,46870,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
HP 15 – Core i3-1315U,3.9,259,200,50903,0.31,34990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook Go 14,4,86,1K ,43990,0.34,28990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo IdeaPad Slim 3 – Core i5-12450H,3.9,290,400,72690,0.37,45500,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Acer Aspire Lite,3.9,35,500 ,77999,0.48,40590,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
Lenovo LOQ – Core i5-13450HX,4.4,18,300,113690,0.28,81990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Acer[SmartChoice Aspire Lite 12thGen Intel Core,3.9,520,1K ,66999,0.33,44990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo LOQ – Core i5-12450HX,3.7,77,500,96590,0.29,68490,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Dell Vostro,3.4,61,2K ,53990,0.24,40990,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
ASUS Vivobook 15 – Core i3-1315U,4.2,7,200,51990,0.37,32889,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Apple 2025 MacBook Air (13-inch),4.6,501,3K ,99900,0.16,83990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 15 – Core i3-1315U,4.5,12,500,51990,0.35,33990,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Laptops
Apple 2025 MacBook Air (13-inch,4.6,501,3K ,99900,0.16,83990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Acer Nitro V, AMD Ryzen 5 6600H, RTX 3050",4,10,100,70000,0.18,57689,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
Lenovo IdeaPad Slim 5,3.8,37,100 ,125890,0.38,77990,10/10/2025,13/10/2025,Best seller,Electronics,Laptops
Lenovo V15 – Athlon Silver 7120U,4.1,248,200,38000,0.32,25979,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
HP 255 Athlon 4 GB/ 256 GB SSD/DOS,3.8,114,500 ,30336,0.26,22385,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
Dell G15 – Core i5-13450HX,4,1302,1K,105398,0.3,73990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 15,4,287,3K ,69990,0.3,48990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 15 – Core i3-1315U,4.1,183,400,46990,0.23,35970,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS TUF A15 (2025),4.1,428,1K ,83990,0.24,63989,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 15 – Core i7-1355U,3.9,82,500,77507,0.21,60990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 14 (2025),3.7,53,200 ,48000,0.38,29990,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 15 – Ryzen 7 5825U,3.9,1373,500,55691,0.17,46490,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Acer Aspire 3 – Core i5-1334U,4.1,79,500,66999,0.4,39990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Walker Student Laptop – Celeron N4020,3.2,175,200,30000,0.59,12190,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook Go 15 – Ryzen 3 7320U,4.3,44,300,38990,0.27,28290,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 15 – Core i7-13620H,3.8,40,500,87900,0.28,62990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"HP Professional 15 2025, Intel Core i5 13th Gen, 32GB RAM",1,1,50,98990,0.47,52290,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Acer Aspire 3 – Core i3-1305U,3.6,30,300,51999,0.42,29990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo ThinkBook 16 – Ryzen 5 7535HS,3.7,85,500,87800,0.5,44315,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo IdeaPad Slim 3 – Core i5-13420H,4.2,8,300,87990,0.34,57990,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
ASUS Vivobook 14 – Core 5 120U (14th Gen),4,15,500,73990,0.38,45990,11/10/2025,13/10/2025,Limited time deal,Electronics,Laptops
"HP 15, Intel Core i3 13th Gen, 8GB RAM",3.8,209,100,48419,0.26,35990,11/10/2025,13/10/2025,Best seller,Electronics,Laptops
"HP 255 G10, AMD Ryzen 3 7320U, 16GB RAM",3.1,13,50,41534,0.28,29890,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Primebook 2 Neo – Helio G99,4.6,309,300,24990,0.4,14990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
ASUS TUF A16 – Ryzen 7 7445HS,4,28,500,114990,0.24,86990,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
HP 15 – Core i3-1315U,4,41,300,82990,0.59,33950,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
MacBook Pro (2024) – M4,5,5,50,209900,0.4,201990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Apple MacBook Air 2025, Apple M4, 16GB RAM",3.8,601,3K,99900,0.13,86990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Lenovo IdeaPad Flex 5, Intel Core i7 13th Gen, 16GB RAM",3.8,36,50,121690,0.38,74990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"HP 15S, AMD Ryzen 5000, 16GB RAM",4.1,1199,50,59999,0.31,41500,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Laptops
ASUS Vivobook 15 – Core i5-13420H,3.9,16,400,75990,0.3,52990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo V15 – Ryzen 7 7730U,4.1,201,200,58500,0.27,42490,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"ASUS Vivobook S16, Intel Core Ultra 7 255H, 16GB RAM",3.8,3,50,121990,0.28,87990,11/10/2025,13/10/2025,Limited time deal,Electronics,Laptops
"DELL 14 2025, Intel Core i5 13th Gen, 16GB RAM",3.8,2,50,92990,0.36,59100,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
ASUS Vivobook 16X – Core i7-13620H,3.2,11,300,102990,0.34,67990,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
HP 15 – Core i5-1334U,3.7,438,1K,70841,0.28,50990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Primebook 2 Pro – Helio G99,4.6,68,500,29990,0.42,17490,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"HP 15, Intel Core i5 13th Gen, 16GB RAM",3.8,442,2K,70841,0.31,48990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo ThinkBook 16 – Ryzen 7 7735HS,3.4,23,500,93600,0.49,47990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Dell 15, Intel Core i3 13th Gen, 8GB RAM",3.8,292,100,48827,0.27,39490,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"HP Victus, Intel Core i5 13th Gen, RTX 4050",3.8,250,50,96064,0.25,72490,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"HP 15 Laptop, Intel Core i5 13th Gen, 16GB RAM",3.8,244,50,67205,0.27,49050,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
"Neopticon BrowseBook, Celeron N4020, 8GB RAM",3.8,24,50,35000,0.54,15990,10/10/2025,12/10/2025,Limited time deal,Electronics,Laptops
"DELL 14 2025, Intel Core i3 13th Gen, 8GB RAM",4.2,6,50,78990,0.59,32360,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
"Lenovo V15 G4, AMD Ryzen 5 7520U, 16GB RAM",3.8,64,50,54900,0.37,34480,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Dell 15DC15250 – Intel Core i5-1334U,3.8,119,1K,79409,0.31,54990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"Lenovo V15, Intel Core i5 12th Gen, 8GB RAM",4,7,50,88414,0.54,40890,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Lenovo ThinkPad E14, AMD Ryzen 5 7530U, 16GB RAM",4.1,219,50,85000,0.36,54500,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Laptops
Dell Inspiron 15 – Ryzen 3 7320U,4,120,400,41190,0.27,29990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Acer Nitro V 15 – Ryzen 7 7445HS,3.8,168,300,108299,0.34,71990,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Laptops
"HP 14 2025, Intel Core i3 13th Gen, 16GB RAM",3.5,3,50,82990,0.57,35950,10/10/2025,12/10/2025,Best seller,Electronics,Laptops
Lenovo IdeaPad Slim 1 – Ryzen 5 5500U,4,466,200,65000,0.46,35100,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"HP Pavilion x360, Intel Core i5 13th Gen, 1TB SSD",3.9,7,50,91999,0.23,70990,11/10/2025,13/10/2025,Limited time deal,Electronics,Laptops
Lenovo IdeaPad Slim 3 – Ryzen 7 8840HS,4.1,25,500,94890,0.29,66990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
"Lenovo V14 G3, Intel Core i7 12th Gen, 16GB RAM",4.1,117,50,75999,0.28,54590,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Acer Nitro V 15 – Ryzen 5 6600H,4.6,23,500,98799,0.36,62990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Samsung Galaxy Book4 – Core i5-1335U,4,94,200,82789,0.41,48999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
HP 15 – Ryzen 3 7320U,4,1875,500,44783,0.31,30990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Laptops
Ultimus Apex – Celeron Dual Core,3.8,70,200,39990,0.58,16870,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
"DELL 15 2025, Intel Core i3 13th Gen, 16GB RAM",3.5,3,50,84990,0.57,36490,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Lenovo IdeaPad Slim 3 – Core 12th Gen,3.9,561,300,58390,0.45,31990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Laptops
Dell Inspiron 15 – Ryzen 5 7530U,4.1,79,100,48322,0.17,39990,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Laptops
Lenovo IdeaPad Slim 3 – Ryzen 5 5625U,3.8,32,200,59090,0.34,38990,10/10/2025,12/10/2025,Limited time deal,Electronics,Laptops
"Acer UT222Q 21.5"" (54.61 cm)""",4.2,67,50 ,33000,0.49,16699,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"Dell SE2425H, 24"" FHD VA Monitor, 75Hz, 5ms, Tilt, Eye Comfort",4.3,697,100,21239,0.63,7799,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Monitor
"LG Ultragear 34Gp63A 34"" (86.42 cm)""",4.4,463,500 ,49000,0.46,26499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Samsung M7 LS43FM700UWXXL, 43"" 4K Smart Monitor, UHD, AI Features",4,29,100,73500,0.59,30499,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"LG 24MS550-B 24""""",4.2,236,500 ,13500,0.43,7679,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"Lenovo Legion R24e, 24"" FHD Gaming Monitor, 180Hz, 0.5ms",4.7,10,100,12490,0.24,9499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Lenovo L22e-40 21.4"" (54.48 cm)""",4.4,1227,500 ,9690,0.38,5999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"LG 27UP650K-W, 27"" 4K UHD IPS Monitor, HDR400",4.2,194,100,45000,0.47,23999,10/10/2025,12/10/2025,Limited time deal,Electronics,Monitor
"Acer XZ306CX 29.5"" (74.93 cm)""",4.2,4584,500 ,35000,0.54,15999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"AOC 24G4, 24"" FHD Gaming Monitor, 180Hz, 1ms, HDR10, G-Sync",4,36,100,24990,0.65,8699,10/10/2025,12/10/2025,Limited time deal,Electronics,Monitor
"MSI PRO MP223 E2 21.45"" (54.48 cm)""",4.6,146,500 ,10999,0.53,5199,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"Samsung ViewFinity S6 LS27F610EAWXXL, 27"" QHD IPS Monitor, 100Hz",4.7,16,100,38000,0.56,16899,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"MSI PRO MP2412 23.8""""",4.2,70,500 ,10999,0.37,6900,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Acer Nitro ED343CUR X0, 34"" UWQHD Curved Gaming Monitor, 200Hz, 0.5ms",3.2,4,100,28999,0.17,23999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"BenQ GW2490 24""""",4.3,908,1K ,13990,0.43,7989,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"FRONTECH MON-0023, 15.6"" Portable FHD IPS Monitor, USB-C & HDMI",3.9,5,100,15000,0.5,7538,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"BenQ GW2790 27""""",4.3,818,500 ,17990,0.44,9989,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"LG 34WQ500, 34"" UW FHD IPS Monitor, 100Hz, HDR400, FreeSync",4.3,40,200,30000,0.37,18999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"ZEBRONICS EA124 24"" (60.4 cm)""",3.8,2462,500 ,24999,0.76,5949,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"E GATE Atom 3X, 13"" Full HD Android Projector, 4K HDR, Netflix/Prime",4,2032,4K,21990,0.73,5999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"LG 32MR50C 32"" (81.28 cm)""",4.2,200,1K ,24000,0.48,12490,10/10/2025,13/10/2025,Best seller,Electronics,Monitor
"Acer ED343CUR J, 34"" UWQHD Curved VA Monitor, 120Hz, HDR10",3.9,64,100,26999,0.26,19999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Acer EK220Q 21.5"" (54.61 cm)""",4.3,4403,1K ,7699,0.35,4999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"BenQ GW2490T, 24"" FHD IPS Monitor, 100Hz, Height Adjustable, Eye-Care",4.3,237,200,14990,0.32,10249,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"ZEBRONICS AC32FHD 32"" (81.28 cm)""",3.8,2462,1K ,29999,0.67,9990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
